idx,class,conversation_original,conversation_flat,conversation_predicted_turns,actual_boundaries,predicted_boundaries
0,갈취 대화,"누나 나 돈 좀 주라
무슨 돈을 또 줘 어제도 가져가 놓고
그건 어제고 오늘 또 필요해서 그래
얘가 나한테 돈 맡겨 놨어? 왜 자꾸 돈 달래
돈 안 주면 엄마한테 누나 애인 있는 거 다 이른다
뭐라고 얘가 이제 협박까지 하네
엄마한테 걸리고 싶으면 마음대로 해
알았어 주면 되잖아
5만원 만 줘 고마워 누나
이번이 마지막이야 이제는 못 줘",누나 나 돈 좀 주라 무슨 돈을 또 줘 어제도 가져가 놓고 그건 어제고 오늘 또 필요해서 그래 얘가 나한테 돈 맡겨 놨어 왜 자꾸 돈 달래 돈 안 주면 엄마한테 누나 애인 있는 거 다 이른다 뭐라고 얘가 이제 협박까지 하네 엄마한테 걸리고 싶으면 마음대로 해 알았어 주면 되잖아 5만원 만 줘 고마워 누나 이번이 마지막이야 이제는 못 줘,"누나 나 돈 좀 주라
무슨 돈을 또 줘
어제도 가져가 놓고
그건 어제고
오늘 또 필요해서 그래
얘가 나한테 돈 맡겨 놨어
왜 자꾸 돈 달래
돈 안 주면 엄마한테 누나 애인 있는 거 다 이른다
뭐라고
얘가 이제 협박까지 하네
엄마한테 걸리고 싶으면 마음대로 해
알았어 주면 되잖아
5만원 만 줘
고마워
누나 이번이 마지막이야
이제는 못 줘","[5, 12, 18, 27, 37, 42, 47, 50, 55]","[5, 9, 12, 14, 18, 23, 27, 37, 38, 42, 47, 50, 53, 54, 57]"
1,갈취 대화,"야 돈 좀 있냐?
나 돈 없는데
나 요즘 완전 거지인데 사고싶은거 생겨서 얼마만 필요한데 일주일 뒤에 바로 갚을게
나도 없어
야 그러지말고 며칠만 빌려주면안돼냐
나도 돈 없다니까
야 친구끼리 왜 이렇게 째째하게구냐? 그거 좀 빌려주는게 어디 덧나냐? 얼마만 달라고
너 저번에도 안 돌려줬잖아.
죽을래? 알바해서라도 만들어서오든지 너네 부모님한테 달라고 하라고
미안해.",야 돈 좀 있냐 나 돈 없는데 나 요즘 완전 거지인데 사고싶은거 생겨서 얼마만 필요한데 일주일 뒤에 바로 갚을게 나도 없어 야 그러지말고 며칠만 빌려주면안돼냐 나도 돈 없다니까 야 친구끼리 왜 이렇게 째째하게구냐 그거 좀 빌려주는게 어디 덧나냐 얼마만 달라고 너 저번에도 안 돌려줬잖아 죽을래 알바해서라도 만들어서오든지 너네 부모님한테 달라고 하라고 미안해,"야 돈 좀 있냐
나 돈 없는데
나 요즘 완전 거지인데
사고싶은거 생겨서
얼마만 필요한데
일주일 뒤에 바로 갚을게
나도 없어
야 그러지말고 며칠만 빌려주면안돼냐
나도 돈 없다니까
야 친구끼리 왜 이렇게 째째하게구냐
그거 좀 빌려주는게 어디 덧나냐
얼마만 달라고
너 저번에도 안 돌려줬잖아
죽을래
알바해서라도 만들어서오든지
너네 부모님한테 달라고 하라고
미안해","[4, 7, 19, 21, 25, 28, 40, 44, 51]","[4, 7, 11, 13, 15, 19, 21, 25, 28, 33, 38, 40, 44, 45, 47, 51]"
2,갈취 대화,"여기에 지장 찍으라고.
이번달 까지는 돈 정말 갚을게요.
내가 오늘 기분이 좀 안좋아서. 맞고 찍을래? 그냥 찍을래?
정말 못 찍어요.이번달까지는 돈 갚을게요.
아 그러셔? 그럼 맞고 지장 찍자.
재산몰수는 정말 안되요.
아니 맞는걸로 끝내려했는데 그냥 오늘 죽을래?
알겠어요 찍을게요.
이게 정신을 차리네.
재산은 정말 안되는데.",여기에 지장 찍으라고 이번달 까지는 돈 정말 갚을게요 내가 오늘 기분이 좀 안좋아서 맞고 찍을래 그냥 찍을래 정말 못 찍어요이번달까지는 돈 갚을게요 아 그러셔 그럼 맞고 지장 찍자 재산몰수는 정말 안되요 아니 맞는걸로 끝내려했는데 그냥 오늘 죽을래 알겠어요 찍을게요 이게 정신을 차리네 재산은 정말 안되는데,"여기에 지장 찍으라고
이번달 까지는 돈 정말 갚을게요
내가 오늘 기분이 좀 안좋아서
맞고 찍을래 그냥 찍을래
정말 못 찍어요이번달까지는 돈 갚을게요
아 그러셔
그럼 맞고 지장 찍자
재산몰수는 정말 안되요
아니 맞는걸로 끝내려했는데 그냥 오늘 죽을래
알겠어요 찍을게요
이게 정신을 차리네
재산은 정말 안되는데","[3, 8, 17, 22, 28, 31, 37, 39, 42]","[3, 8, 13, 17, 22, 24, 28, 31, 37, 39, 42]"
3,갈취 대화,"이번 한 번만 더 싸게 물건 넘기면 되는 거야. 알겠지?
이번에도 이 가격으로 계약하면 저희 회사 망합니다.
너네 하청업체 그동안 담합이랑 단가 위조까지 모두 다 신고해 줘?
제발 그것만은 참아주세요.
그러니까 그냥 조용히 계약서에 날인하란 말이야.
회장님 제발 사정 한 번만 봐주세요.
그러니까 원하는 대로 편하게 살고 싶었으면 아예 책잡힐 일을 하지 말았어야지. 안 그래?
제가 계약 조건 최대한 좋게 해드릴 테니까 조금만 여유를 주세요.
더 말하지 말고 정해. 재판받을지 아니면 계약할지.
알겠습니다.",이번 한 번만 더 싸게 물건 넘기면 되는 거야 알겠지 이번에도 이 가격으로 계약하면 저희 회사 망합니다 너네 하청업체 그동안 담합이랑 단가 위조까지 모두 다 신고해 줘 제발 그것만은 참아주세요 그러니까 그냥 조용히 계약서에 날인하란 말이야 회장님 제발 사정 한 번만 봐주세요 그러니까 원하는 대로 편하게 살고 싶었으면 아예 책잡힐 일을 하지 말았어야지 안 그래 제가 계약 조건 최대한 좋게 해드릴 테니까 조금만 여유를 주세요 더 말하지 말고 정해 재판받을지 아니면 계약할지 알겠습니다,"이번 한 번만 더 싸게 물건 넘기면 되는 거야
알겠지
이번에도 이 가격으로 계약하면 저희 회사 망합니다
너네 하청업체 그동안 담합이랑 단가 위조까지 모두 다 신고해 줘
제발 그것만은 참아주세요
그러니까 그냥 조용히 계약서에 날인하란 말이야
회장님
제발 사정 한 번만 봐주세요
그러니까 원하는 대로 편하게 살고 싶었으면 아예 책잡힐 일을 하지 말았어야지 안 그래
제가 계약 조건 최대한 좋게 해드릴 테니까 조금만 여유를 주세요
더 말하지 말고 정해 재판받을지 아니면 계약할지
알겠습니다","[10, 17, 27, 30, 36, 42, 55, 65, 72]","[9, 10, 17, 27, 30, 36, 37, 42, 55, 65, 72]"
4,갈취 대화,"야 합의 하에 영상 지워줄까 아님 그냥 유포할까?
 합의할게요
 그래 합의금 100만원 입금 전화하면 받아. 답장 바로바로 해.
 저 편의점이 조금 먼데 시간 좀 주시면 안될까요?
 빨리 뛰어가 5분 내로 입금해
 네 일단 가고 있어요
 돈 찍어서 보내 바로바로 확인하라고 씨발
 잠시만요
 빨리빨리 안보내면 바로 유포해버린다?
 입금했어요",야 합의 하에 영상 지워줄까 아님 그냥 유포할까 합의할게요 그래 합의금 100만원 입금 전화하면 받아 답장 바로바로 해 저 편의점이 조금 먼데 시간 좀 주시면 안될까요 빨리 뛰어가 5분 내로 입금해 네 일단 가고 있어요 돈 찍어서 보내 바로바로 확인하라고 씨발 잠시만요 빨리빨리 안보내면 바로 유포해버린다 입금했어요,"야 합의 하에 영상 지워줄까 아님 그냥 유포할까
합의할게요
그래 합의금 100만원 입금
전화하면 받아 답장 바로바로 해
저 편의점이 조금 먼데 시간 좀 주시면 안될까요
빨리 뛰어가
5분 내로 입금해
네
일단 가고 있어요
돈 찍어서 보내
바로바로 확인하라고
씨발
잠시만요
빨리빨리 안보내면 바로 유포해버린다
입금했어요","[8, 9, 18, 26, 31, 35, 41, 42, 46]","[8, 9, 13, 18, 26, 28, 31, 32, 35, 38, 40, 41, 42, 46]"
5,협박 대화,"내 부하를 살려내지 않으면 당상 죽여버리겠다.
누구십니까?? 살려내라니요.
긴 말은 필요 없다 당장 살려내
잠시만요 너무 피가 많이납니다!
죽고 싶은 거냐? 살려내!!
당장 살려내라니요. 피가 너무나서 과다출혈위험이 있어요
지금 당장 살려내지않으면 바로 죽여버리겠다.
.준비할 시간이 필요합니다!
당장 수술실에 들어가서 살려내라!
준비하겠습니다.",내 부하를 살려내지 않으면 당상 죽여버리겠다 누구십니까 살려내라니요 긴 말은 필요 없다 당장 살려내 잠시만요 너무 피가 많이납니다 죽고 싶은 거냐 살려내 당장 살려내라니요 피가 너무나서 과다출혈위험이 있어요 지금 당장 살려내지않으면 바로 죽여버리겠다 준비할 시간이 필요합니다 당장 수술실에 들어가서 살려내라 준비하겠습니다,"내 부하를 살려내지 않으면 당상 죽여버리겠다
누구십니까
살려내라니요
긴 말은 필요 없다
당장 살려내
잠시만요
너무 피가 많이납니다
죽고 싶은 거냐
살려내
당장 살려내라니요
피가 너무나서
과다출혈위험이 있어요
지금 당장 살려내지않으면 바로 죽여버리겠다
준비할 시간이 필요합니다
당장 수술실에 들어가서 살려내라
준비하겠습니다","[6, 8, 14, 18, 22, 28, 33, 36, 40]","[6, 7, 8, 12, 14, 15, 18, 21, 22, 24, 26, 28, 33, 36, 40]"
6,협박 대화,"넌 그냥 죽어야해 이 한국남자야
그러지 마세요 왜 그러세요
넌 그냥 죽어 
죽기전에 이유나 들어보자 왜 그러는데요
한국남자는 여자들 강간하고 노예로 부리려 하고 폭행하고 우리가 무슨 성노예야?
전 적어도 그런 사람은 아니에요
너도 똑같애
모든 남자가 다 그런게 아니에요
너의 허튼 변명 듣기도 싫다 그냥 이 칼로 죽어
왜 그러시는데요 진짜",넌 그냥 죽어야해 이 한국남자야 그러지 마세요 왜 그러세요 넌 그냥 죽어 죽기전에 이유나 들어보자 왜 그러는데요 한국남자는 여자들 강간하고 노예로 부리려 하고 폭행하고 우리가 무슨 성노예야 전 적어도 그런 사람은 아니에요 너도 똑같애 모든 남자가 다 그런게 아니에요 너의 허튼 변명 듣기도 싫다 그냥 이 칼로 죽어 왜 그러시는데요 진짜,"넌 그냥 죽어야해
이 한국남자야
그러지 마세요
왜 그러세요
넌 그냥 죽어
죽기전에 이유나 들어보자
왜 그러는데요
한국남자는 여자들 강간하고 노예로 부리려 하고 폭행하고
우리가 무슨 성노예야
전 적어도 그런 사람은 아니에요
너도 똑같애
모든 남자가 다 그런게 아니에요
너의 허튼 변명 듣기도 싫다 그냥 이 칼로 죽어
왜 그러시는데요
진짜","[5, 9, 12, 17, 27, 32, 34, 39, 48]","[3, 5, 7, 9, 12, 15, 17, 24, 27, 32, 34, 39, 48, 50]"
7,협박 대화,"우리 헤어지자
네가 어떻게 그런 말을 해
그동안 많이 참았던 말이야
죽을 때까지 함께 하기로 했잖아
그건 사랑했을 때나 통한 말이지
아니야 난 아직도 너 사랑해 우린 갈라질 수 없어
그래도 헤어지면 정리할 줄 알아야지
안 돼 우린 언제나 함께여야 해
그럴 수는 없어 
헤어질 바엔 같이 죽자 내가 너 죽이고 나도 죽을게
무슨 소리야 제발 그러지 마",우리 헤어지자 네가 어떻게 그런 말을 해 그동안 많이 참았던 말이야 죽을 때까지 함께 하기로 했잖아 그건 사랑했을 때나 통한 말이지 아니야 난 아직도 너 사랑해 우린 갈라질 수 없어 그래도 헤어지면 정리할 줄 알아야지 안 돼 우린 언제나 함께여야 해 그럴 수는 없어 헤어질 바엔 같이 죽자 내가 너 죽이고 나도 죽을게 무슨 소리야 제발 그러지 마,"우리 헤어지자
네가 어떻게 그런 말을 해
그동안 많이 참았던 말이야
죽을 때까지 함께 하기로 했잖아
그건 사랑했을 때나 통한 말이지
아니야 난 아직도 너 사랑해
우린 갈라질 수 없어
그래도 헤어지면 정리할 줄 알아야지
안 돼 우린 언제나 함께여야 해
그럴 수는 없어
헤어질 바엔 같이 죽자
내가 너 죽이고 나도 죽을게
무슨 소리야
제발 그러지 마","[2, 7, 11, 16, 21, 30, 35, 41, 44, 53]","[2, 7, 11, 16, 21, 26, 30, 35, 41, 44, 48, 53, 55]"
8,협박 대화,"동생 이쁘던데?
내동생 어찌알어
소문났어 이쁘다고
내동생 근처에 얼씬도 마
그럼 내가 시키는대로 해
그건 곤란해
동생 생각해
제발 동생 건들지마
내가 시키는거 오늘까지 해
생각해볼께요",동생 이쁘던데 내동생 어찌알어 소문났어 이쁘다고 내동생 근처에 얼씬도 마 그럼 내가 시키는대로 해 그건 곤란해 동생 생각해 제발 동생 건들지마 내가 시키는거 오늘까지 해 생각해볼께요,"동생 이쁘던데
내동생
어찌알어
소문났어
이쁘다고
내동생 근처에 얼씬도 마
그럼 내가 시키는대로 해
그건 곤란해
동생 생각해
제발
동생 건들지마
내가 시키는거 오늘까지 해
생각해볼께요","[2, 4, 6, 10, 14, 16, 18, 21, 25]","[2, 3, 4, 5, 6, 10, 14, 16, 18, 19, 21, 25]"
9,협박 대화,"너 . 김디귿이랑 바람 폈냐 .?
 뭐 .? 무슨 말도 안 되는 소리야 .
 그럼 도대체 이건 다 뭔데 !!
 너가 그걸 어떻게 .
 똑바로 말해. 김디귿 이 새끼 도대체 누군데 !!!!!
 나도 잘 모르는 사람이야 . 진정해봐.
 당신 장모님께 다 말씀드릴거야. 이혼해
 절대 말하지마 말하면 나 뛰어내릴거야
 지금 뭐하는 짓이야 !
 말하기만 해 !!!!!!! 나 죽을거야 !!!!!!!!!!",너 김디귿이랑 바람 폈냐 뭐 무슨 말도 안 되는 소리야 그럼 도대체 이건 다 뭔데 너가 그걸 어떻게 똑바로 말해 김디귿 이 새끼 도대체 누군데 나도 잘 모르는 사람이야 진정해봐 당신 장모님께 다 말씀드릴거야 이혼해 절대 말하지마 말하면 나 뛰어내릴거야 지금 뭐하는 짓이야 말하기만 해 나 죽을거야,"너 김디귿이랑 바람 폈냐
뭐
무슨 말도 안 되는 소리야
그럼 도대체 이건 다 뭔데
너가 그걸 어떻게 똑바로 말해
김디귿
이 새끼
도대체 누군데
나도 잘 모르는 사람이야
진정해봐
당신 장모님께 다 말씀드릴거야
이혼해
절대 말하지마
말하면 나 뛰어내릴거야
지금 뭐하는 짓이야
말하기만 해
나 죽을거야","[4, 10, 15, 18, 25, 30, 35, 40, 43]","[4, 5, 10, 15, 20, 21, 23, 25, 29, 30, 34, 35, 37, 40, 43, 45]"
10,기타 괴롭힘 대화,"야 너가 그걸 할 수 있냐?
왜 나는 못할 것 같아?
퓻 너가? 너같은 바보새끼가 그걸?
.
너 꼴등이잖아
그걸 어떻게 알아?
왜 모르냨 딱 봐도 머리가 텅텅 비어보이는데
말 함부로 하지마
 걍 처음부터 시도하지마
하.",야 너가 그걸 할 수 있냐 왜 나는 못할 것 같아 퓻 너가 너같은 바보새끼가 그걸 너 꼴등이잖아 그걸 어떻게 알아 왜 모르냨 딱 봐도 머리가 텅텅 비어보이는데 말 함부로 하지마 걍 처음부터 시도하지마 하,"야 너가 그걸 할 수 있냐
왜
나는 못할 것 같아
퓻
너가
너같은 바보새끼가
그걸
너 꼴등이잖아
그걸 어떻게 알아
왜
모르냨
딱 봐도 머리가 텅텅 비어보이는데
말 함부로 하지마
걍 처음부터 시도하지마
하","[6, 11, 16, 16, 18, 21, 28, 31, 34]","[6, 7, 11, 12, 13, 15, 16, 18, 21, 22, 23, 28, 31, 34]"
